,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AutomaticPayment,Churn
46,0,0,1,1,11,1,0,2,0,0,1,0,1,0,0,1,2,59.65,683.25,1.0,0
47,1,1,0,0,69,1,1,1,1,0,1,1,1,1,2,0,3,110.25,7467.55,1.0,0
48,0,0,1,0,17,1,0,1,0,0,1,0,1,1,1,1,2,96.65,1588.25,1.0,0
49,1,0,0,0,48,1,1,1,0,0,1,1,1,1,0,1,0,103.85,4946.05,0.0,0
50,0,0,0,0,32,1,0,0,2,2,2,2,2,2,2,1,2,20.05,614.45,1.0,0
51,1,0,1,1,63,1,0,2,1,1,1,1,1,0,2,0,3,75.55,4707.85,1.0,0
52,1,0,1,1,65,1,1,1,1,0,1,1,1,1,2,0,0,109.3,7337.55,0.0,0
53,0,0,0,1,11,1,1,1,0,0,1,0,0,0,0,1,1,78.0,851.8,0.0,0
54,1,0,0,0,34,1,1,1,0,0,0,0,1,0,0,0,0,85.35,2896.6,0.0,0
55,1,0,0,0,72,1,0,0,2,2,2,2,2,2,2,0,3,20.25,1566.9,1.0,0
56,1,0,0,0,17,1,0,1,0,1,0,0,1,0,0,1,0,83.55,1329.15,0.0,0
57,0,0,1,0,35,1,1,2,0,1,0,1,1,0,1,1,0,69.0,2441.7,0.0,0
58,1,0,0,0,7,1,0,2,1,1,1,0,0,0,0,0,0,61.4,438.9,0.0,0
59,1,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,19.25,19.25,0.0,0
60,0,0,1,1,31,1,1,2,1,1,0,1,0,1,1,1,2,75.25,2344.5,1.0,0
61,1,0,1,0,51,1,1,0,2,2,2,2,2,2,2,0,1,25.5,1281.25,0.0,0
62,0,0,1,0,15,1,0,0,2,2,2,2,2,2,1,0,1,18.8,294.95,0.0,0
63,1,0,1,1,57,1,1,1,0,1,0,0,1,1,0,1,0,100.6,5611.7,0.0,0
64,1,1,0,0,4,1,1,2,0,0,0,0,0,0,0,0,1,48.75,179.85,0.0,0
65,0,0,1,1,69,0,2,2,1,0,1,1,0,0,2,0,1,39.1,2779.5,0.0,0
66,0,0,0,0,3,1,0,0,2,2,2,2,2,2,0,1,3,20.75,67.1,1.0,0
67,1,1,0,0,72,1,1,1,1,1,1,1,1,1,2,1,3,117.35,8436.25,1.0,0
68,0,0,1,1,54,0,2,2,0,0,1,1,0,1,2,0,3,46.0,2424.05,1.0,0
69,1,0,0,0,22,1,1,1,0,0,0,0,0,0,1,1,3,76.0,1783.6,1.0,0
70,1,0,0,0,40,1,0,1,0,1,0,0,0,0,0,0,3,74.8,2971.7,1.0,0
71,0,0,0,0,16,1,0,0,2,2,2,2,2,2,0,0,3,19.75,294.9,1.0,0
72,1,0,0,0,53,1,0,1,1,1,1,1,0,1,2,0,1,99.5,5424.25,0.0,0
73,1,0,0,0,8,1,0,2,0,0,0,1,0,0,0,0,0,49.4,408.25,0.0,0
74,0,1,1,0,7,1,0,1,0,0,0,0,1,1,0,1,0,89.0,605.45,0.0,0
75,1,0,1,0,71,1,1,0,2,2,2,2,2,2,2,0,2,24.75,1836.9,1.0,0
76,0,0,0,1,35,1,0,2,0,0,0,1,1,1,1,1,1,72.1,2495.15,0.0,0
77,0,0,1,1,55,1,0,0,2,2,2,2,2,2,2,0,2,19.35,1153.25,1.0,0
78,0,0,0,0,14,1,0,1,0,0,0,0,1,1,0,1,0,92.9,1337.45,0.0,0
79,1,0,1,0,60,0,2,2,1,1,1,0,0,1,1,0,0,50.05,2911.5,0.0,0
80,1,0,1,0,46,1,1,1,0,1,0,1,1,1,1,1,0,103.15,4594.65,0.0,0
81,0,0,0,0,40,1,1,1,0,1,1,0,1,1,0,1,1,102.65,4108.15,0.0,0
82,0,0,0,0,57,1,0,0,2,2,2,2,2,2,2,0,3,20.55,1252.85,1.0,0
83,1,0,1,0,55,1,1,2,1,1,1,1,1,1,1,1,0,90.15,4916.95,0.0,0
84,0,0,1,1,64,1,1,1,0,0,1,0,0,1,1,0,3,90.25,5629.15,1.0,0
85,1,0,0,0,20,1,0,0,2,2,2,2,2,2,2,0,1,19.7,406.95,0.0,0
86,1,0,0,0,24,1,1,0,2,2,2,2,2,2,2,0,3,25.15,553.0,1.0,0
87,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,0,19.75,19.75,0.0,0
88,1,0,1,1,64,1,1,1,0,1,1,1,1,1,1,1,0,111.45,7266.95,0.0,0
89,1,0,0,0,18,1,0,1,0,1,1,0,0,0,0,0,0,77.8,1358.6,0.0,0
90,0,0,1,1,33,1,0,0,2,2,2,2,2,2,1,0,1,20.6,690.25,0.0,0
91,0,0,1,1,33,1,0,0,2,2,2,2,2,2,1,1,2,19.45,600.25,1.0,0
92,1,1,1,0,56,1,1,1,0,0,0,1,0,0,0,1,2,76.85,4275.75,1.0,0
93,0,1,0,0,30,1,0,2,1,1,0,0,1,1,0,1,0,74.75,2111.3,0.0,0
94,1,0,1,1,68,1,1,1,0,1,0,1,0,0,1,1,2,83.65,5733.4,1.0,0
95,1,0,1,1,23,1,0,1,1,1,0,1,0,0,0,0,1,84.4,1936.85,0.0,0
96,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,1,29.9,29.9,0.0,0
97,0,0,0,0,59,1,0,2,0,0,1,0,0,1,1,1,2,61.35,3645.5,1.0,0
98,0,0,0,0,39,1,0,2,0,0,0,1,0,0,2,1,2,49.8,1971.15,1.0,0
99,0,1,1,0,72,1,1,1,1,1,1,1,1,1,0,1,3,112.9,8061.5,1.0,0
100,0,0,1,1,26,1,0,0,2,2,2,2,2,2,2,1,3,19.15,515.75,1.0,0
101,0,0,1,1,40,1,1,2,0,0,1,0,1,1,0,1,0,74.55,3015.75,0.0,0
102,1,0,1,1,65,1,1,2,1,1,0,1,1,1,2,1,2,82.5,5215.1,1.0,0
103,1,0,0,0,45,1,0,2,1,0,1,1,1,1,2,0,2,81.65,3618.7,1.0,0
104,1,0,0,0,38,1,1,0,2,2,2,2,2,2,1,1,0,24.25,914.4,0.0,0
105,1,0,0,0,70,0,2,2,1,1,1,1,0,0,2,1,2,44.6,3058.15,1.0,0
106,1,0,1,0,70,0,2,2,1,0,1,1,0,1,2,1,2,49.85,3370.2,1.0,0
107,0,0,0,0,48,1,0,0,2,2,2,2,2,2,2,0,3,20.15,982.95,1.0,0
108,1,1,1,0,39,1,1,1,0,0,0,1,1,1,0,1,0,101.25,3949.15,0.0,0
109,1,0,1,1,40,1,0,2,1,1,0,1,0,1,0,1,1,71.35,2847.2,0.0,0
110,0,0,1,1,58,1,0,0,2,2,2,2,2,2,1,1,0,19.55,1108.8,0.0,0
111,0,0,0,0,47,1,0,0,2,2,2,2,2,2,2,0,2,20.45,943.0,1.0,0
112,0,0,1,1,8,1,0,0,2,2,2,2,2,2,2,0,3,19.6,125.0,1.0,0
113,1,0,1,0,18,1,0,1,1,0,0,0,0,0,0,0,0,74.8,1438.05,0.0,0
114,0,0,1,1,72,1,0,1,1,1,0,1,1,1,2,0,2,105.5,7611.55,1.0,0
115,0,0,0,0,33,1,1,2,0,1,0,0,0,0,0,1,2,54.65,1665.2,1.0,0
116,1,0,0,0,37,1,1,1,0,0,1,0,1,1,0,1,0,100.05,3810.55,0.0,0
117,1,0,1,1,18,1,0,2,1,1,0,1,0,0,1,1,1,61.5,1087.45,0.0,0
118,1,0,1,0,49,1,1,1,1,1,1,1,0,1,2,0,3,106.65,5174.35,1.0,0
119,1,0,0,0,45,1,1,2,1,0,0,1,0,1,2,0,1,73.55,3349.1,0.0,0
120,0,0,1,0,31,1,0,2,1,1,1,1,0,1,1,1,3,75.5,2424.45,1.0,0
121,1,0,1,0,43,1,1,2,0,0,0,1,1,0,1,1,2,64.85,2908.2,1.0,0
122,1,0,1,0,64,1,1,2,1,0,1,1,1,1,2,1,3,85.0,5484.4,1.0,0
123,1,0,1,1,34,1,1,0,2,2,2,2,2,2,2,0,3,24.95,894.3,1.0,0
124,0,1,1,0,7,0,2,2,1,0,0,0,0,0,0,0,2,29.8,220.45,1.0,0
125,0,0,0,0,72,1,1,0,2,2,2,2,2,2,2,0,2,24.75,1777.6,1.0,0
126,0,0,1,0,70,1,1,2,1,1,1,1,1,0,1,0,2,79.4,5528.9,1.0,0
127,0,0,0,0,62,1,0,0,2,2,2,2,2,2,2,1,3,20.05,1201.65,1.0,0
128,1,0,0,0,20,0,2,2,0,0,0,0,0,0,0,0,3,24.9,505.95,1.0,0
129,1,0,0,0,56,1,0,0,2,2,2,2,2,2,2,0,2,19.7,1051.9,1.0,0
130,1,1,1,0,71,1,0,1,0,1,1,0,0,1,2,0,3,89.45,6435.25,1.0,0
131,1,0,0,0,63,1,0,1,0,0,1,1,1,0,1,1,3,90.05,5817.0,1.0,0
132,1,0,0,1,44,1,0,0,2,2,2,2,2,2,2,0,1,19.9,868.1,0.0,0
133,1,0,1,0,38,1,0,0,2,2,2,2,2,2,1,1,3,20.25,814.75,1.0,0
134,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,19.55,19.55,0.0,0
135,0,0,0,0,10,1,0,2,1,0,0,1,1,0,0,0,2,62.25,612.95,1.0,0
136,0,0,0,0,9,1,0,0,2,2,2,2,2,2,0,0,3,19.7,180.7,1.0,0
137,0,0,1,1,31,1,1,0,2,2,2,2,2,2,2,0,1,25.75,755.6,0.0,0
138,0,0,1,1,29,1,0,0,2,2,2,2,2,2,0,1,1,20.65,654.85,0.0,0
139,0,0,0,0,18,1,1,2,1,0,0,0,0,0,0,0,1,56.25,969.85,0.0,0
140,0,0,1,0,27,1,0,2,1,0,0,0,0,0,1,0,3,48.7,1421.75,1.0,0
141,1,0,0,1,22,1,1,1,0,0,0,0,0,1,0,1,0,84.75,1816.75,0.0,0
142,1,0,0,0,60,1,0,1,0,1,1,0,1,1,2,1,0,99.65,5941.05,0.0,0
143,1,0,0,0,57,1,0,2,1,1,1,1,1,0,2,1,3,74.3,4166.35,1.0,0
144,0,1,1,0,61,1,1,1,0,1,1,1,1,0,1,1,1,98.3,6066.55,0.0,0
145,0,0,1,0,71,1,1,2,1,0,1,1,1,1,2,0,0,83.2,6126.1,0.0,0
146,1,0,1,0,12,1,0,2,1,0,0,1,0,0,0,0,2,54.2,690.5,1.0,0
147,1,0,1,1,55,1,1,1,1,0,0,0,1,1,1,0,1,100.9,5448.6,0.0,0
148,1,0,0,0,51,1,1,1,0,1,1,1,1,1,1,1,0,111.5,5703.25,0.0,0
149,0,1,1,0,34,1,0,1,1,0,0,1,1,0,1,0,1,90.15,3128.8,0.0,0
150,0,0,1,1,4,1,0,0,2,2,2,2,2,2,2,0,1,19.9,76.65,0.0,0
151,1,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,3,70.35,3533.6,1.0,0
152,0,0,0,0,15,1,0,0,2,2,2,2,2,2,0,0,1,19.75,311.6,0.0,0
153,0,0,0,0,45,1,0,2,1,0,0,0,0,0,0,1,2,50.9,2298.55,1.0,0
154,1,0,0,0,18,1,1,2,0,0,0,0,0,0,0,1,0,50.3,913.3,0.0,0
155,0,0,1,0,72,1,1,1,0,1,1,0,1,1,2,1,2,106.3,7565.35,1.0,0
156,0,0,1,0,20,1,0,0,2,2,2,2,2,2,1,0,1,20.65,417.5,0.0,0
157,0,0,1,1,68,1,1,1,0,1,0,0,1,1,1,1,3,101.05,6770.5,1.0,0
158,1,0,1,0,36,1,0,1,0,0,0,0,0,1,0,0,0,80.4,2937.65,0.0,0
159,1,0,1,0,72,1,1,2,1,1,0,1,1,1,2,1,2,86.4,6058.95,1.0,0
160,0,0,0,0,26,1,1,2,1,1,0,0,0,0,1,0,0,61.55,1581.95,0.0,0
161,0,0,1,1,72,1,1,1,1,0,1,0,1,1,1,1,2,106.1,7848.5,1.0,0
162,1,0,0,0,22,1,0,2,1,0,0,0,0,0,0,1,0,49.8,1049.05,0.0,0
163,0,0,1,1,38,1,1,1,0,0,1,0,1,1,0,1,3,101.15,3956.7,1.0,0
164,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,20.8,20.8,0.0,0
165,0,0,0,0,4,0,2,2,0,0,0,1,0,1,0,1,0,40.05,162.45,0.0,0
166,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,1,55.7,55.7,0.0,0
167,1,1,0,0,27,1,1,1,1,1,1,0,1,1,1,1,2,110.5,2857.6,1.0,0
168,0,0,0,0,67,1,0,2,1,0,1,0,0,1,2,0,2,65.55,4361.55,1.0,0
169,1,0,0,0,53,1,1,1,0,1,1,0,1,1,2,0,0,105.55,5682.25,0.0,0
170,0,0,1,1,71,1,1,2,1,0,0,0,1,0,1,1,0,66.2,4692.55,0.0,0
171,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,1,2,20.15,20.15,1.0,0
172,0,1,1,0,4,0,2,2,0,0,1,0,0,0,0,1,0,29.9,118.25,0.0,0
173,1,0,1,1,64,1,1,0,2,2,2,2,2,2,1,0,1,24.9,1595.5,0.0,0
174,0,0,0,0,30,1,1,1,1,0,0,0,1,1,0,1,2,100.4,2936.25,1.0,0
175,1,0,0,0,22,0,2,2,0,0,1,0,1,1,0,1,0,50.6,1073.3,0.0,0
176,0,1,1,0,10,1,0,1,1,0,0,0,0,0,0,0,0,75.3,720.45,0.0,0
177,1,0,0,0,7,1,0,2,1,0,0,0,0,1,1,1,0,59.1,369.25,0.0,0
178,1,0,0,0,67,1,1,0,2,2,2,2,2,2,2,1,2,25.6,1790.35,1.0,0
179,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,3,50.2,109.25,1.0,0
180,1,1,0,0,18,1,0,1,0,0,1,0,0,1,0,1,0,84.95,1443.65,0.0,0
181,0,0,0,0,11,0,2,2,0,1,0,1,0,0,0,1,0,35.65,425.1,0.0,0
182,1,0,1,1,71,1,0,0,2,2,2,2,2,2,2,0,2,20.5,1500.95,1.0,0
183,0,0,1,1,60,1,0,0,2,2,2,2,2,2,2,0,3,19.65,1161.75,1.0,0
184,1,0,1,0,26,1,0,1,0,0,0,1,0,1,0,0,3,85.9,2196.45,1.0,0
185,1,0,0,0,2,0,2,2,0,1,0,0,1,1,0,0,0,51.4,96.8,0.0,0
186,1,0,1,1,68,1,1,1,0,1,1,0,0,0,2,1,3,84.4,5746.75,1.0,0
187,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,70.1,141.65,0.0,0
188,1,0,1,1,61,1,0,0,2,2,2,2,2,2,1,0,3,19.1,1143.8,1.0,0
189,0,0,0,0,68,0,2,2,0,0,1,0,0,1,0,1,2,39.9,2796.35,1.0,0
190,0,0,0,0,31,1,0,1,0,1,1,0,1,1,0,1,0,101.4,3143.65,0.0,0
191,1,1,1,0,23,1,0,1,1,0,0,0,1,1,0,1,0,95.1,2326.05,0.0,0
192,0,1,0,0,71,1,1,1,0,1,0,1,1,1,1,0,2,105.75,7382.85,1.0,0
193,1,1,1,0,72,1,1,1,1,0,0,0,0,0,2,0,2,78.5,5602.25,1.0,0
194,0,0,0,1,1,1,0,2,1,1,0,1,0,1,0,1,2,70.45,70.45,1.0,0
195,1,0,0,0,22,1,0,0,2,2,2,2,2,2,1,0,2,20.85,450.65,1.0,0
196,1,0,1,1,24,1,1,1,0,1,1,0,0,0,1,0,2,83.15,2033.05,1.0,0
197,1,0,1,1,39,1,0,2,1,0,0,0,0,0,0,0,3,51.05,2066.0,1.0,0
198,0,1,0,0,29,1,0,1,0,1,1,0,1,1,0,1,2,101.45,2948.6,1.0,0
199,1,0,0,0,7,1,0,1,0,1,0,0,1,1,1,1,1,94.05,633.45,0.0,0
200,1,0,1,1,59,1,0,0,2,2,2,2,2,2,2,0,3,19.5,1222.65,1.0,0
201,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,69.05,651.5,0.0,0
202,0,0,0,1,27,1,1,0,2,2,2,2,2,2,2,1,3,25.85,788.55,1.0,0
203,1,0,0,0,6,1,0,0,2,2,2,2,2,2,0,0,1,20.7,112.75,0.0,0
204,0,0,0,0,27,1,1,2,0,0,1,1,0,0,0,0,0,59.45,1611.65,0.0,0
205,1,0,0,0,7,1,0,1,0,0,1,0,0,0,0,1,0,75.15,525.0,0.0,0
206,0,1,1,0,72,1,1,1,0,1,1,1,1,1,2,1,2,109.75,7932.5,1.0,0
207,0,0,1,0,57,1,1,1,1,1,1,1,1,0,0,1,0,103.05,5925.75,0.0,0
208,0,0,0,0,71,1,1,2,1,1,1,1,0,1,2,0,2,80.6,5708.2,1.0,0
209,1,0,0,0,5,1,0,0,2,2,2,2,2,2,0,0,1,19.95,109.6,0.0,0
210,0,0,1,0,35,1,1,1,0,0,0,1,1,0,0,1,3,91.5,3236.35,1.0,0
211,0,0,1,0,71,1,1,2,1,1,1,1,1,1,2,0,2,90.55,6404.0,1.0,0
212,1,0,0,0,22,0,2,2,0,1,0,0,1,1,0,1,0,50.35,1098.85,0.0,0
213,0,0,0,1,71,1,1,0,2,2,2,2,2,2,2,0,1,24.35,1654.6,0.0,0
214,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,1,90.75,174.75,0.0,0
215,0,0,0,0,26,1,0,0,2,2,2,2,2,2,0,0,1,20.9,518.3,0.0,0
216,0,0,0,0,30,1,0,1,1,1,1,0,0,0,0,1,3,84.3,2438.6,1.0,0
217,1,0,1,1,70,0,2,2,0,1,1,1,1,1,1,1,2,58.4,4113.15,1.0,0
218,0,0,0,0,32,1,0,2,0,0,0,0,1,1,1,1,2,64.85,2010.95,1.0,0
219,0,0,0,0,9,1,0,0,2,2,2,2,2,2,1,1,0,19.9,164.6,0.0,0
220,0,0,1,1,70,1,1,2,1,1,1,1,0,1,1,0,2,78.35,5445.95,1.0,0
221,0,0,1,1,69,1,1,1,0,1,1,0,1,1,2,1,0,105.0,7297.75,0.0,0
222,0,0,1,1,27,1,0,2,1,1,0,0,0,0,0,1,3,54.75,1510.3,1.0,0
223,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,2,19.75,19.75,1.0,0
224,1,0,0,0,12,0,2,2,0,1,1,1,1,1,1,0,0,60.65,743.3,0.0,0
225,0,0,1,1,72,1,1,2,1,1,1,1,1,1,2,0,3,89.7,6339.3,1.0,0
226,0,0,1,0,43,1,1,2,1,1,0,1,0,0,0,0,2,66.25,2907.35,1.0,0
227,0,0,1,1,69,1,1,0,2,2,2,2,2,2,2,1,2,26.0,1796.55,1.0,0
228,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,89.25,89.25,0.0,0
229,0,0,1,0,65,1,1,1,1,0,1,0,1,1,0,1,0,104.25,6812.95,0.0,0
230,0,0,1,0,70,1,1,2,1,0,0,1,1,1,2,1,3,76.95,5289.8,1.0,0
231,0,0,0,0,3,1,0,0,2,2,2,2,2,2,0,0,1,20.7,57.5,0.0,0
232,0,0,1,1,72,1,1,0,2,2,2,2,2,2,2,0,2,25.0,1738.9,1.0,0
233,1,0,0,0,1,1,1,0,2,2,2,2,2,2,0,1,0,25.7,25.7,0.0,0
234,1,1,0,0,34,1,1,1,0,1,0,1,1,0,0,1,0,96.35,3190.25,0.0,0
235,0,0,0,0,6,1,0,2,1,0,0,0,0,1,0,1,2,59.15,336.7,1.0,0
236,0,0,0,0,5,0,2,2,0,0,0,0,0,0,0,0,1,24.3,100.2,0.0,0
237,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,1,44.55,220.75,0.0,0
238,1,0,1,0,30,1,0,2,0,1,1,1,0,1,1,0,2,70.25,2198.9,1.0,0
239,0,0,1,0,42,1,1,2,1,0,0,1,1,1,1,0,3,80.45,3375.9,1.0,0
240,1,0,0,0,13,1,1,2,1,0,1,0,1,1,0,1,0,78.75,995.35,0.0,0
241,0,0,0,0,24,1,0,1,0,1,1,1,0,0,0,1,0,85.95,2107.15,0.0,0
242,0,1,0,0,9,1,0,1,0,0,0,0,0,1,0,1,0,79.55,718.55,0.0,0
243,0,0,0,1,1,1,0,0,2,2,2,2,2,2,0,1,1,19.2,19.2,0.0,0
244,0,0,1,1,32,0,2,2,0,0,1,0,1,1,0,0,3,50.6,1653.45,1.0,0
245,0,1,1,0,19,0,2,2,0,1,1,0,0,0,0,1,3,34.3,577.15,1.0,0
246,0,0,0,0,1,1,0,0,2,2,2,2,2,2,0,0,1,19.75,19.75,0.0,0
247,1,0,1,0,72,1,1,0,2,2,2,2,2,2,2,1,1,26.0,1776.0,0.0,0
248,0,1,0,0,71,1,1,0,2,2,2,2,2,2,2,1,1,24.65,1766.75,0.0,0
249,0,1,0,0,70,0,2,2,0,1,1,0,1,0,1,1,3,44.05,3011.65,1.0,0
250,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,0,0,115.15,8349.7,0.0,0
251,0,0,0,0,24,1,0,2,0,0,0,1,0,0,0,1,3,51.1,1269.6,1.0,0
252,0,1,1,0,27,1,1,1,1,0,1,0,0,0,1,1,0,85.9,2220.1,0.0,0
253,1,0,1,1,14,1,0,1,0,0,0,0,0,0,0,0,0,70.2,1046.5,0.0,0
254,1,0,1,1,7,1,0,2,1,1,1,1,1,0,0,1,0,75.7,554.05,0.0,0
255,0,0,0,0,19,1,0,2,0,0,0,1,1,0,0,1,3,61.55,1093.2,1.0,0
256,0,0,1,0,56,0,2,2,0,0,1,1,1,1,1,1,2,54.05,2959.8,1.0,0
257,1,1,0,0,59,1,1,1,0,1,0,0,0,0,2,1,3,79.2,4590.35,1.0,0
258,0,0,1,1,22,1,0,0,2,2,2,2,2,2,1,0,2,20.25,488.25,1.0,0
259,1,0,0,1,11,0,2,2,1,0,0,1,0,0,1,1,1,36.05,402.6,0.0,0
260,1,0,0,0,35,1,0,1,0,0,1,1,1,1,1,1,0,99.25,3532.0,0.0,0
261,1,0,0,0,1,1,0,0,2,2,2,2,2,2,0,1,1,20.25,20.25,0.0,0
262,1,1,1,0,66,0,2,2,0,1,1,0,1,0,1,0,2,45.55,3027.25,1.0,0
263,1,0,1,0,63,1,1,2,1,1,0,0,1,1,1,1,3,79.7,4786.15,1.0,0
264,0,0,0,0,30,1,0,2,1,1,0,1,1,0,1,0,0,70.4,2044.75,0.0,0
265,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,19.75,19.75,0.0,0
266,0,0,1,0,43,1,0,1,1,1,1,0,0,0,0,1,3,86.1,3551.65,1.0,0
267,1,0,1,0,70,1,0,0,2,2,2,2,2,2,2,0,3,19.85,1328.35,1.0,0
268,1,1,1,0,72,1,1,1,1,1,1,1,0,0,2,1,2,96.6,6827.5,1.0,0
269,0,0,0,0,4,1,0,2,0,0,0,1,0,0,0,1,1,50.8,202.3,0.0,0
270,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,24.4,24.4,0.0,0
